"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Oct 27 16:24:49 GMT 2024","Sun Oct 27 16:25:49 GMT 2024","60138","chromium","US_01.02.00_Markets_shares.spec.ts","US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license, EN language > US_01.02!00_Auth Role","","","TC_01.02!00_102_Auth | Markets > Menu item [Shares] > Click button [Try Demo]  in the block ""Shares trading""",""
"passed","Sun Oct 27 16:25:50 GMT 2024","Sun Oct 27 16:26:12 GMT 2024","21486","chromium","US_01.02.00_Markets_shares.spec.ts","US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license, EN language > US_01.02!00_Auth Role","","","TC_01.02!00_103_Auth | Markets > Menu item [Shares] > Click button [Create account ] in the block ""Discover trading excellence with Capital.com""",""
"skipped","Sun Oct 27 16:45:18 GMT 2024","Sun Oct 27 16:45:18 GMT 2024","0","chromium","US_01.03!00_Markets_forex.spec.ts","US_01.03!00 | Markets > Menu item [Forex], FCA license, EN language > TC_01.03!00_104 | Markets > Menu item [Forex] > Click random trading instruments on the Widget “Trading instrument”","","","TC_01.03!00_104_Auth | Markets > Menu item [Forex] > Click random trading instruments on the Widget “Trading instrument”",""
"passed","Sun Oct 27 16:44:22 GMT 2024","Sun Oct 27 16:44:28 GMT 2024","6069","chromium","US_01.03!00_Markets_forex.spec.ts","US_01.03!00 | Markets > Menu item [Forex], FCA license, EN language > TC_01.03!00_103 | Markets > Menu item [Forex] > Click button [Create account] in the block ""Discover trading excellence with Capital.com""","","","TC_01.03!00_103_UnReg | Markets > Menu item [Forex] > Click button [Create account] in the block ""Discover trading excellence with Capital.com""",""
"passed","Sun Oct 27 16:41:21 GMT 2024","Sun Oct 27 16:41:38 GMT 2024","17101","chromium","US_01.03!00_Markets_forex.spec.ts","US_01.03!00 | Markets > Menu item [Forex], FCA license, EN language > TC_01.03!00_101 | Markets > Menu item [Forex] > Click button [Create account] in the block ""Forex trading""","","","TC_01.03!00_101_Auth | Markets > Menu item [Forex] > Click button [Create account] in the block ""Forex trading""",""
"passed","Sun Oct 27 16:03:23 GMT 2024","Sun Oct 27 16:03:39 GMT 2024","15591","chromium","US_01.01.00_Markets.spec.ts","US_01.01!00 | Markets > Menu section [Markets] , FCA license, EN language > TC_01.01!00_104 | Markets > Menu section [Markets] > Click button [Try Demo] in the block ""Why choose Capital.com for your trading?""","","","TC_01.01!00_104_Auth | Markets > Menu section [Markets] > Click button [Try Demo] in the block ""Why choose Capital.com for your trading?""",""
"passed","Sun Oct 27 16:45:01 GMT 2024","Sun Oct 27 16:45:18 GMT 2024","16560","chromium","US_01.03!00_Markets_forex.spec.ts","US_01.03!00 | Markets > Menu item [Forex], FCA license, EN language > TC_01.03!00_104 | Markets > Menu item [Forex] > Click random trading instruments on the Widget “Trading instrument”","","","TC_01.03!00_104_UnReg | Markets > Menu item [Forex] > Click random trading instruments on the Widget “Trading instrument”",""
"passed","Sun Oct 27 15:59:53 GMT 2024","Sun Oct 27 16:00:12 GMT 2024","18428","chromium","US_01.01.00_Markets.spec.ts","US_01.01!00 | Markets > Menu section [Markets] , FCA license, EN language > TC_01.01!00_101 | Markets > Menu section [Markets] > Click button [Create account] in the block ""Access thousands of global markets""","","","TC_01.01!00_101_UnAuth | Markets > Menu section [Markets] > Click button [Create account] in the block ""Access thousands of global markets""",""
"passed","Sun Oct 27 16:00:12 GMT 2024","Sun Oct 27 16:00:27 GMT 2024","15548","chromium","US_01.01.00_Markets.spec.ts","US_01.01!00 | Markets > Menu section [Markets] , FCA license, EN language > TC_01.01!00_101 | Markets > Menu section [Markets] > Click button [Create account] in the block ""Access thousands of global markets""","","","TC_01.01!00_101_Auth | Markets > Menu section [Markets] > Click button [Create account] in the block ""Access thousands of global markets""",""
"failed","Sun Oct 27 16:42:35 GMT 2024","Sun Oct 27 16:42:52 GMT 2024","17262","chromium","US_01.03!00_Markets_forex.spec.ts","US_01.03!00 | Markets > Menu item [Forex], FCA license, EN language > TC_01.03!00_102 | Markets > Menu item [Forex] > Click button [Try Demo] in the block ""Forex trading""","","","TC_01.03!00_102_UnAuth | Markets > Menu item [Forex] > Click button [Try Demo] in the block ""Forex trading""",""
"skipped","Sun Oct 27 16:45:18 GMT 2024","Sun Oct 27 16:45:18 GMT 2024","0","chromium","US_01.03!00_Markets_forex.spec.ts","US_01.03!00 | Markets > Menu item [Forex], FCA license, EN language > TC_01.03!00_104 | Markets > Menu item [Forex] > Click random trading instruments on the Widget “Trading instrument”","","","TC_01.03!00_104_UnAuth | Markets > Menu item [Forex] > Click random trading instruments on the Widget “Trading instrument”""",""
"passed","Sun Oct 27 16:07:51 GMT 2024","Sun Oct 27 16:08:07 GMT 2024","15951","chromium","US_01.02.00_Markets_shares.spec.ts","US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license, EN language > US_01.02!00_UnReg Role","","","TC_01.02!00_105_UnReg | Markets > Menu item [Shares] > Click four random trading instruments on the widget “Trading instrument”",""
"broken","Sun Oct 27 16:12:30 GMT 2024","Sun Oct 27 16:13:30 GMT 2024","60132","chromium","US_01.02.00_Markets_shares.spec.ts","US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license, EN language > US_01.02!00_UnAuth Role","","","TC_01.02!00_102_UnAuth | Markets > Menu item [Shares] > Click button [Try Demo]  in the block ""Shares trading""",""
